"","Conflict_Name","Conflict_Type","Region","Start_Year","End_Year","Status","Primary_Country","Pre_War_Unemployment_%","During_War_Unemployment_%","Unemployment_Spike_Percentage_Points","Most_Affected_Sector","Youth_Unemployment_Change_%","Pre_War_Poverty_Rate_%","During_War_Poverty_Rate_%","Extreme_Poverty_Rate_%","Food_Insecurity_Rate_%","Households_Fallen_Into_Poverty_Estimate","GDP_Change_%","Inflation_Rate_%","Currency_Devaluation_%","Cost_of_War_USD","Estimated_Reconstruction_Cost_USD","Informal_Economy_Size_Pre_War_%","Informal_Economy_Size_During_War_%","Black_Market_Activity_Level","Primary_Black_Market_Goods","Currency_Black_Market_Rate_Gap_%","War_Profiteering_Documented"
"33","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",5.97,13.41,7.44,"Tourism",9.66,23.39,27.64,12.16,21.9,7744,-11.8,126.02,66.7,293508647049,674693084209,14.53,23.54,"High","food, medicine",19.1,"Yes"
"34","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",5.52,13.08,7.56,"Energy",8.9,21.7,26.62,16.59,22.47,47556,-27.39,97.59,117.46,128411295452,348372211432,21.42,50.17,"Dominant","medicine, food",182.41,"Yes"
"35","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",7.72,8.77,1.05,"Services",1.43,20.97,22.05,12.69,15.59,313641,-34.05,83.23,138.14,183273278170,716962722529,28.67,75.23,"Moderate","currency, medicine",144.09,"No"
"36","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.92,34.25,28.33,"Construction",38.81,13.21,30.03,9.28,20.8,18285,-49.61,135.36,163.07,96192087300,251737512208,22.08,34.15,"Dominant","weapons, food",13.67,"Yes"
"37","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",7.06,13.65,6.6,"Construction",8.01,24.58,28.32,11.07,17.05,134256,-8.34,59.87,40.88,378123138346,1112437687045,34.44,90,"Moderate","food, fuel",94.3,"Yes"
"38","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",8.59,15.5,6.91,"Services",8.59,25.15,30.49,13.48,20.35,4375,-20.42,51.8,56.15,322541505100,625943715230,25.12,39.46,"Moderate","water, currency",11.76,"Yes"
"39","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",11.51,27.23,15.72,"Tourism",23.5,14.44,26.43,15.91,13.69,13342,-29.21,102.74,65.97,41574234029,116437631380,36.44,55.54,"Low","water",344.63,"No"
"40","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.06,14.59,9.54,"Services",12.51,18.82,28.03,12.21,14.7,27124,-42.51,101.86,175.71,429807541899,1576343952366,34.61,64.39,"Moderate","currency, fuel",300.46,"No"
"41","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",6.24,10.96,4.72,"Tourism",6.4,19.2,24.47,13.33,17.02,658570,-27.59,91.43,92.71,260501373481,928711807931,29,84.64,"Low","medicine, currency, water",376.97,"Yes"
"42","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",8.95,24.06,15.11,"Tourism",20.97,16.82,27.14,8.75,14.06,3482,-18.81,50.92,37.5,184038740949,642469178831,33.08,70.99,"Low","fuel",430.68,"Yes"
"43","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",9.22,23.33,14.11,"Tourism",19.16,8.37,24.83,13.4,17.05,7111,-30.78,40.2,23.1,157199837370,238282079968,27.56,53.72,"Dominant","food, medicine",487.05,"No"
"44","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",12.52,32.34,19.81,"Construction",29.28,20.72,40.08,18.49,22.02,31266,-28.54,109.31,192.15,266546268569,520033125402,32,87.42,"Low","food, medicine",213.09,"Yes"
"45","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",11.66,24.47,12.8,"Agriculture",18.8,28.59,41.5,27.59,36.07,50655,-7.23,67.16,110.4,403875856979,1498223308379,15.05,28.09,"Moderate","weapons, food, fuel",14.29,"Yes"
"46","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",12.08,21.52,9.43,"Manufacturing",13.91,24.22,33.11,13.01,21.43,4910,-34.72,184.65,151.41,224504116459,804239858824,17.35,23.12,"High","weapons, water",13.52,"No"
"47","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",13.66,30.95,17.28,"Construction",22.78,25.73,42.66,17.98,26.11,144654,-6.79,44.8,72.69,170871347744,656708765729,34.96,61.98,"Dominant","currency, food, water",266.33,"No"
"48","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.14,10.53,5.39,"Services",7.62,26.6,31.65,17.8,17.52,30545,-10,56.22,41.96,134784771204,268792766733,27.84,62.16,"Low","food, currency, fuel",241.61,"Yes"
"49","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",12.97,44.87,31.89,"Manufacturing",38.71,18.38,54.47,24.11,38.03,400951,-80.7,109.62,165.55,218032028794,828168378558,24.05,43.49,"Moderate","weapons, currency",14.66,"No"
"50","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",9.45,17.45,8,"Construction",9.98,14.6,22.05,7.02,14.69,385938,-28.85,96.5,142.45,9772975284,20485330599,34.46,77.72,"Low","currency",473.09,"Yes"
"51","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",14.48,37.43,22.95,"Services",31.19,25.95,38.66,22.23,29.04,649330,-16.11,105.56,191.45,138768528139,367151983950,26.57,76.47,"Moderate","food, currency",318.08,"No"
"52","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",12.38,32.19,19.81,"Agriculture",26.05,14.48,25.74,13.32,13.13,120047,-20.03,72.77,83.03,499014382542,860112983797,35.21,80.07,"Moderate","water, food",473.28,"Yes"
"53","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",8.47,24.41,15.94,"Services",20.55,26.36,41.02,18.19,25.56,18867,-29.96,108.85,154.99,277738063943,772592231774,17.25,47.87,"Moderate","currency, fuel",13.92,"No"
"54","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",13.89,39.93,26.05,"Construction",34.38,21.38,52.56,29.95,37.94,726823,-30.04,41.37,50.54,185164072564,659803727204,10.25,23.7,"Moderate","currency, food, medicine",3.66,"No"
"55","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",12.83,22.33,9.5,"Agriculture",13.6,5.01,11.81,4.68,7.01,114297,-8.07,59.7,55.94,209279996382,511096742962,36.28,90,"Dominant","fuel",246.48,"Yes"
"56","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",6.94,30.37,23.43,"Energy",32.15,23.28,49.04,26.31,27.22,30155,-39.87,71.14,113.33,252517474764,955189354031,12.03,19.59,"High","water, fuel",4.94,"Yes"
"57","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.18,43.39,31.22,"Energy",42.26,5.29,41.89,26.04,27.41,9257,-20.9,68.15,85.13,264143219316,905411458718,12.76,21.88,"Dominant","weapons, food",4.3,"Yes"
"58","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",9.63,25.2,15.57,"Manufacturing",18.72,17.56,26.09,12.83,22.57,20273,-41.71,23.67,36.26,152917315421,417174628728,33.71,75.47,"High","weapons, fuel",335.75,"Yes"
"59","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",7.57,16.1,8.53,"Energy",9.85,29.46,37.07,17.38,24.32,55476,-35.85,31.26,43.22,75604765330,237402422713,14.09,25.56,"Moderate","water",11,"Yes"
"60","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",14.43,41.81,27.38,"Energy",39.85,9.62,42.04,25.42,31.79,16220,-46.91,76.54,112.43,377326010853,985688833736,39.42,53.58,"Moderate","medicine, currency, weapons",456.91,"No"
"61","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",11.15,25.82,14.67,"Construction",20.13,5.47,19.64,12.86,14.87,4531,-24.86,34.42,57.66,239964018487,477986151470,35.08,57.72,"High","food, fuel, weapons",389.33,"Yes"
"62","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",12.87,21.64,8.77,"Construction",12.53,13.61,19.09,11.98,15.42,209594,-30.79,11.49,10.04,340983371358,700867268469,11.02,28.56,"Moderate","medicine, weapons, water",6.45,"Yes"
"63","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",11.02,26.87,15.85,"Services",21.66,15.96,29.89,12.35,20.29,828661,-24.62,85.47,95.25,276305924204,522280726977,24.25,62.33,"Moderate","medicine",222.26,"Yes"
"64","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",9.13,45.06,35.93,"Agriculture",40.19,6.09,33.71,23.35,18.7,236342,-14.31,98.01,101.77,91382268300,219940867722,30.13,80.76,"Dominant","currency",378.66,"Yes"
"65","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",12.06,28.59,16.54,"Manufacturing",23.56,24.69,34.73,13.67,21.06,57171,-27.29,100.08,96.97,26039209681,70474889141,37.41,90,"High","currency",183.31,"No"
"66","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.01,4.39,1.38,"Energy",1.61,29.81,31.35,11.86,22.82,103,-16.64,112.04,179.52,410771461434,688940087377,13.62,18.99,"Moderate","medicine, food, fuel",16.81,"Yes"
"67","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.04,62.54,50.5,"Tourism",60.76,24.5,64.09,43.84,43.99,66685,-45.36,115.1,155.23,119468168387,373997781979,17.7,48.35,"Low","food, weapons",1.71,"Yes"
"68","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",8.44,40.3,31.86,"Manufacturing",37.25,13.55,40.42,26.34,26.88,6308,-76.2,80.82,97.35,143129943179,345911538827,22.28,39,"Moderate","food, weapons",0.4,"No"
"69","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.07,12.76,7.68,"Agriculture",10,22.8,30.69,12.52,18.94,19100,-44.21,45.43,53.04,166130520141,578148595127,30.07,49.57,"Dominant","food",16.01,"Yes"
"70","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",9.43,27.64,18.21,"Tourism",24.61,12.4,29.49,9.91,18.65,47046,-28.93,59.65,118,160677627171,262013063343,18.11,42.08,"Dominant","food, water, fuel",15.21,"Yes"
"71","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",6.73,16.58,9.85,"Services",14.53,14.13,25.34,16.09,20.84,1919,-11.17,129.55,253.49,435947603000,1425328244309,33.96,67.87,"Dominant","weapons, currency",83.01,"Yes"
"72","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",11.89,17.79,5.9,"Construction",7.5,25.42,29.37,11.73,25.47,92076,-12.18,72.38,56.69,480947955711,1749092627839,36.34,90,"High","water, medicine, food",166.2,"Yes"
"73","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",8.9,26.55,17.65,"Agriculture",25.02,9.2,20.45,7.61,14.81,17779,-8.78,17.21,21.66,151118587603,531859587767,34.99,73.54,"High","weapons",229.79,"Yes"
"74","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",7.67,21.45,13.78,"Tourism",16.94,6.28,22.03,11.2,17.83,815188,-25.63,78.66,50.79,77850392005,279071609699,13.76,23.89,"Moderate","weapons, food",12.05,"Yes"
"75","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",3.8,10.85,7.05,"Manufacturing",8.56,8.29,15.23,5.72,10.53,364872,-31.33,96.39,102.52,237075930941,540763617475,15.79,36.8,"Moderate","water, medicine, currency",2.91,"No"
"76","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",4.01,4.42,0.42,"Manufacturing",0.61,21,21.26,14.05,16.77,12242,-38.89,92.08,92.78,267975225540,425785808411,14.87,40.76,"High","currency",13.12,"No"
"77","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",8.99,19.31,10.32,"Construction",12.5,19.92,25.35,9.31,22.15,9054,-30.82,5.35,7.82,405665487154,1524415096669,25.16,65.41,"Dominant","medicine",109.14,"No"
"78","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",4.51,22.17,17.66,"Services",23.57,26.64,39.58,21.82,29.24,69974,-68.29,126.37,193.67,168729935091,662383779551,16.58,38.48,"Dominant","weapons, medicine, food",10.8,"No"
"79","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",10.97,29.47,18.5,"Agriculture",22.55,23.98,35.05,19,18.87,2000,-48.11,64.11,77.44,174802607241,269806784705,27.38,53.71,"Moderate","water, fuel",160.46,"Yes"
"80","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.05,14.67,6.62,"Services",9.38,12.84,17.93,6.23,12.14,26149,-47.34,27.19,29.28,35729911360,90429122801,39.81,90,"Dominant","medicine, weapons, food",91.05,"Yes"
"81","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",8.01,18.48,10.47,"Energy",12.63,6.44,12.36,4.57,10.13,597043,-45.28,55.36,94.86,250515102652,901046182299,35.7,53.98,"Moderate","weapons",175.23,"Yes"
"82","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.46,28.38,16.92,"Manufacturing",20.01,5.47,14.01,5.25,7.99,146,-9.67,55.19,110.21,255789168112,396158835162,16.23,29.84,"High","fuel",9.12,"Yes"
"83","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",3.62,20.25,16.63,"Services",21.73,8.01,27.33,8.33,20.65,2288,-43.31,106.15,86.99,443451004656,734863191356,28.09,58.22,"High","weapons, currency, fuel",16.63,"Yes"
"84","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",9.47,29.5,20.04,"Energy",30.04,22.23,43.59,16.46,22.03,552,-46.16,83.68,95.79,441489488597,948249991092,25.89,48.11,"Moderate","fuel",13.71,"Yes"
"85","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",3.47,17.6,14.13,"Energy",16.85,10.42,22.18,7.42,18.99,222965,-18.8,8.59,12.78,182335570261,277820890206,23.85,41.07,"Moderate","food, weapons, medicine",11.05,"No"
"86","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",4.35,6.51,2.16,"Energy",2.46,12.13,14.67,5.19,8.93,14018,-20.96,73.55,90.39,57629904252,132621797899,22.85,38.47,"Low","water, medicine",9.82,"No"
"87","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",12.36,33.78,21.42,"Agriculture",27.36,26.42,38.81,22.33,31.76,3315,-31.33,68.53,96.08,457152547603,1237585031198,32.8,63.62,"High","food, weapons, fuel",214.6,"Yes"
"88","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",7.84,10.04,2.2,"Manufacturing",2.71,25.31,26.78,18,17.29,1752715,-43.37,64.42,109.16,158401169441,241924169860,15.22,28.56,"Low","fuel, water, weapons",19.11,"Yes"
"89","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",8.51,24.19,15.68,"Manufacturing",22.67,9.01,19.54,11.99,10.71,8780,-25.27,61.01,33.31,42875002386,140179006792,10.39,26.95,"Moderate","water, weapons",9.22,"Yes"
"90","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",12.78,49.61,36.83,"Agriculture",42.41,28.96,50.64,25.89,45.25,216351,-45.9,105.82,118.9,353994748886,1303274358885,25.77,51.54,"Low","medicine, currency, fuel",291.49,"Yes"
"91","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",6.43,11.04,4.61,"Manufacturing",5.85,17.16,20.46,6.44,15.34,111380,-12.1,108.8,81.64,309748051023,827989281090,13.52,34.15,"Low","weapons, currency",16.36,"Yes"
"92","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",6.85,14.71,7.86,"Manufacturing",9.06,18.48,24.83,13.49,22.23,7563,-42.27,34.1,25.23,300228471287,951231776948,27.86,70.08,"Moderate","medicine, fuel, currency",298.83,"Yes"
"93","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",5.06,14.74,9.68,"Agriculture",11.83,26.33,33.36,20.24,26.76,80885,-46.36,24.26,35.39,353446704855,1316570722887,19.89,27.37,"Moderate","currency, fuel, water",15.49,"Yes"
"94","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",7.23,15.53,8.3,"Energy",11.93,29.24,37.29,19.96,25.85,669426,-42.38,74.27,140.67,421006635019,1462102132426,34.91,79.92,"High","food, water",119.99,"Yes"
"95","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",4.99,13.72,8.73,"Manufacturing",10.18,13.44,23.87,14.75,12.56,246,-44.74,46.88,34.95,457475604904,1185519036049,19.59,40.65,"Moderate","food",0.79,"Yes"
"96","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",7.51,19.89,12.38,"Energy",15.16,5.28,15.38,8.26,9.17,28944,-33.85,45.54,53.59,57587000020,207335758710,22.29,64.33,"Dominant","weapons",396.05,"Yes"
"97","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",6.11,10.9,4.79,"Manufacturing",6.48,26.27,30.77,10.36,25.85,56618,-73.67,92.81,100.99,496506011210,1363819060393,16.2,26.76,"Dominant","food, currency",7.72,"Yes"
"98","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",7.77,19.19,11.42,"Services",16.95,12.09,20.91,10.83,14.39,267,-8.11,81.26,96.94,433620434940,1014982414347,16.8,30.59,"Moderate","medicine",17.59,"No"
"99","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",13.12,28.43,15.31,"Energy",17.44,25.07,39.57,20.88,27.75,104208,-10.1,140.79,192.62,192176175399,493458245552,23,48.27,"High","medicine",10.53,"No"
"100","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.06,22.09,17.02,"Services",19.77,26.88,38.21,23.2,23.14,21619,-6.79,94.85,185.73,204235146508,726768590788,30.83,60.21,"High","water, weapons, food",489.38,"Yes"
"101","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",12.21,21.25,9.04,"Agriculture",11.06,21.5,27.63,18.1,23.93,38674,-35.25,31.28,41.71,492823389446,1655334538285,10.19,28.37,"Dominant","currency, water",1.25,"No"
